"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",59236213,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",15899083,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4274945,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",124089,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1518495,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",9981554,,
"ITD","Nord-est","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",11587355,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1077078,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4869830,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1201510,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4438937,,
"ITE","Centro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",11786952,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3692865,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",865452,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1498236,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5730399,,
"ITF","Sud","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",13539074,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1281012,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",294294,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5624260,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3933777,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",545130,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1860601,,
"ITG","Isole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6423749,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4833705,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1590044,,
